"gene","logFC","logCPM","F","PValue","FDR","median_logFC_by_sample","prop_same_sign","expr_prop_in_A","stability_score"
"MYOM1",1.03086231840327,4.67801670636096,13.3199332368182,0.0017389562827776,0.0477355739443656,0.800546541687716,1,1,0.800546541687716
"MSRB3",0.785393368957351,8.01229135360313,26.1572403565726,6.51294097854059e-05,0.00875153183487896,0.797474596399774,1,1,0.797474596399774
"RCAN2",0.864164679423033,7.48091338737858,13.0710428267833,0.00188828676826385,0.0490217075587538,0.905964437030002,0.875,1,0.792718882401252
"ITM2C",0.867260934253056,7.12177329519274,13.5404671069863,0.00163247628906114,0.0461575309867006,0.790733884664277,1,1,0.790733884664277
"IL17B",2.14578318914764,4.4169454963816,13.8689890301006,0.00149895379623743,0.0447119220108115,1.25271308961481,0.625,0.875,0.782945681009255
"SPINT2",0.723816850936575,6.97398924433106,15.195828357379,0.000995591335211412,0.0358336687461679,0.781005327149718,1,1,0.781005327149718
"ACTN1",0.820206830446932,9.25500347511002,20.3947649211426,0.000246343385440863,0.016954433293586,0.778936876656497,1,1,0.778936876656497
"ESAM",0.736600054483935,6.79019092335008,24.9270811782126,8.53871295347175e-05,0.00956132548099467,0.778216795603787,1,1,0.778216795603787
"SH3BGRL",0.762433680489495,8.69237377027915,28.7619790327386,3.78847843876489e-05,0.00694177172630309,0.773205239977321,1,1,0.773205239977321
"NCALD",1.03529307963381,5.81930017337995,18.3656439261239,0.000402684852975953,0.021708407721286,0.870023518265695,0.875,1,0.761270578482484
"ARID5A",0.778665894362604,6.68262159279902,14.7244151271533,0.00114362013682236,0.038326214989137,0.753670089091145,1,1,0.753670089091145
"DUSP3",0.794477610286283,5.95278054528025,13.6812662392504,0.00156681440892075,0.0453020464018129,0.748158279299104,1,1,0.748158279299104
"MGST3",0.726208643977728,9.28435726957192,21.4706258868881,0.000189265605655429,0.0149181476547064,0.748128318516242,1,1,0.748128318516242
"TCEAL3",0.781714164598894,7.8028317545776,14.4899333614316,0.00122531627034435,0.0394702905440375,0.743262717941544,1,1,0.743262717941544
"UNC45A",0.666030550956611,5.93728586175829,19.7890681413284,0.000288106764084073,0.0183142167726514,0.740069441696273,1,1,0.740069441696273
"BAG2",0.888417969926861,5.89492820076839,19.8002975497551,0.000287167566524586,0.0183142167726514,0.732301652994118,1,1,0.732301652994118
"VASP",0.714274274317633,6.28222189780124,20.963716914618,0.000214674126656069,0.0157600369153356,0.729565159168497,1,1,0.729565159168497
"SMOC2",0.956198732211547,8.01814376319227,13.8292750877365,0.00149373596267648,0.0446506794436493,0.728517131537446,1,1,0.728517131537446
"SELENOW",0.641909784587549,9.32168434014199,14.0084997402574,0.00141465022288263,0.0429232257949485,0.721901849246479,1,1,0.721901849246479
"NT5DC3",0.768193429410499,4.34022641223508,15.805021881088,0.000836088527380163,0.0331358793056369,0.71610571644144,1,1,0.71610571644144
"CKMT2",1.17728336467359,4.49987722316811,14.5673091548202,0.00119950804214837,0.0391755994598874,0.805332448352976,0.875,1,0.704665892308854
"CAMTA1",0.625882277365264,7.68105130570268,16.4306915986392,0.000701677567127144,0.0300910905610847,0.70092814876578,1,1,0.70092814876578
"PCBD1",0.683565815953184,6.57333144600618,17.7553764226208,0.000486913258744243,0.0241047690092019,0.700748770851633,1,1,0.700748770851633
"PDLIM3",0.775311073369207,9.34434874268574,18.8191395428501,0.000367759316802784,0.0208525107373256,0.697513382849054,1,1,0.697513382849054
"ARHGEF9",0.843271238314268,5.5900212450141,19.1032479750833,0.000336911167730937,0.0201418629894737,0.686743196923583,1,1,0.686743196923583
"BCAM",0.962867608498391,7.27734796740187,15.4654359974035,0.000921708250476383,0.0345861215584343,0.68465531654115,1,1,0.68465531654115
"ACTN4",0.709011220539366,8.71659379276318,15.8717885495127,0.000819325412182243,0.0327742077987476,0.684237687608338,1,1,0.684237687608338
"MRPL33",0.670173419842071,7.91730899335283,16.5177238361463,0.000753462435661826,0.0314514837418719,0.678996303626203,1,0.875,0.678996303626203
"TWSG1",0.754795872954302,6.51573248732385,15.9934867341051,0.000792159788539682,0.0324246736253234,0.671462829415163,1,1,0.671462829415163
"FRY",0.586777073376067,6.3440969518186,13.7129016967191,0.00155169967369475,0.0453020464018129,0.762400785252984,0.875,1,0.667100687096361
"PFN2",0.685931907191265,6.98570558868826,14.4276502287525,0.00124799766313146,0.0395295743698223,0.657123231656453,1,1,0.657123231656453
"ILK",0.675183144254993,8.25704480573884,16.7391741502251,0.000643116763018421,0.0289124249519047,0.649028794768488,1,1,0.649028794768488
"PGM5",0.936754384006021,5.79889873841182,13.6655783684676,0.00157471090463839,0.0453020464018129,0.741113698122712,0.875,1,0.648474485857373
"WDR1",0.66796608446174,7.91418202294173,23.5275864693605,0.000117066319441209,0.0114831329085578,0.639792199556121,1,1,0.639792199556121
"CAVIN3",0.651532710644293,8.75981907242951,21.0902204649553,0.000207616310243607,0.0154564730311857,0.633669884849025,1,1,0.633669884849025
"SMIM10",0.858069133838354,6.05737432403538,19.0834948785361,0.000292061717616171,0.0183142167726514,0.721944136641742,0.875,1,0.631701119561524
"PLS3",0.60525393878884,8.75907870342308,18.0023037362509,0.000455986065617429,0.0231421129489076,0.630368645820289,1,1,0.630368645820289
